sale_id,customer_id,product_id,store_id,campaign_id,sale_date,quantity,sale_amount_usd,discount_amount_usd,payment_method
580,1004,103,404,0,4/11/2024,2,22.76,5.00%,Credit_Card
581,1009,101,403,0,4/11/2024,1,793.12,7.00%,Credit_Card
582,1001,101,401,0,4/19/2024,1,6344.96,2.50%,Cash
583,1009,102,403,0,4/19/2024,1,312.8,3.00%,Credit_Card
584,1007,101,405,0,4/27/2024,2,7138.08,3.00%,Cash
585,1002,108,402,0,4/27/2024,3,113.04,3.00%,Cash
586,1001,105,401,0,4/30/2024,3,39.56,4.00%,Credit_Card
587,1007,102,405,0,4/30/2024,2,78.2,4.00%,Cash
588,1002,102,402,0,5/2/2024,1,117.3,4.00%,Cash
589,1007,102,405,0,5/2/2024,1,117.3,4.00%,Credit_Card
590,1005,107,405,1,5/8/2024,1,603.18,6.00%,Cash
591,1004,101,404,1,5/8/2024,2,7138.08,6.00%,Credit_Card
592,1006,107,406,1,5/17/2024,1,670.2,6.00%,Cash
593,1008,104,404,1,5/17/2024,1,431,5.00%,Cash
594,1003,101,403,1,5/19/2024,2,1586.24,5.00%,Credit_Card
595,1006,108,406,1,5/19/2024,2,25.12,7.00%,Credit_Card
596,1011,105,401,0,5/29/2024,2,98.9,7.00%,Cash
597,1008,102,404,0,5/29/2024,1,195.5,7.00%,Cash
598,1001,104,401,0,6/6/2024,1,387.9,8.00%,Credit_Card
599,1004,102,404,0,6/6/2024,1,351.9,8.00%,Credit_Card
600,1010,103,402,0,6/12/2024,1,182.08,8.00%,Cash
601,1005,106,405,0,6/12/2024,2,711.84,2.00%,Cash
602,1007,101,405,0,6/17/2024,2,2379.36,2.00%,Credit_Card
603,1006,101,406,0,6/17/2024,1,2379.36,2.00%,Cash
604,1009,102,403,0,6/20/2024,2,39.1,7.00%,Cash
605,1002,108,402,0,6/20/2024,1,12.56,7.00%,Credit_Card
606,1005,105,405,0,7/2/2024,1,79.12,7.00%,Credit_Card
607,1011,108,401,0,7/2/2024,1,50.24,1.00%,Cash
608,1003,102,403,0,7/4/2024,2,39.1,1.00%,Credit_Card
609,1004,101,404,0,7/4/2024,1,3965.6,1.00%,Cash
610,1010,106,402,0,7/4/2024,2,88.98,2.00%,Cash
611,1006,102,406,0,7/4/2024,2,195.5,2.00%,Cash
612,1003,104,403,2,7/7/2024,2,258.6,2.00%,Credit_Card
613,1003,104,403,2,7/7/2024,2,258.6,7.00%,Credit_Card
614,1011,101,401,2,7/15/2024,2,7138.08,7.00%,Cash
615,1010,104,402,2,7/15/2024,2,387.9,5.00%,Cash
616,1001,107,401,2,7/17/2024,1,134.04,5.00%,Credit_Card
617,1003,107,403,2,7/17/2024,1,134.04,8.00%,Cash
618,1001,104,401,2,7/21/2024,2,172.4,8.00%,Cash
619,1008,105,404,2,7/21/2024,1,79.12,9.00%,Cash
620,1007,108,405,0,7/25/2024,1,125.6,9.00%,Cash
621,1010,101,402,0,7/25/2024,1,7931.2,3.00%,Credit_Card
622,1003,108,403,0,8/1/2024,2,100.48,3.00%,Credit_Card
623,1002,107,402,0,8/1/2024,2,536.16,3.00%,Cash
624,1011,108,401,0,8/2/2024,2,125.6,3.00%,Cash
625,1002,108,402,0,8/2/2024,1,125.6,2.00%,Credit_Card
626,1003,108,403,0,8/5/2024,1,37.68,5.00%,Cash
627,1006,104,406,0,8/5/2024,2,129.3,5.00%,Cash
628,1011,107,401,0,8/14/2024,2,201.06,5.00%,Credit_Card
629,1006,101,406,0,8/14/2024,2,2379.36,4.00%,Credit_Card
630,1007,104,405,0,8/21/2024,2,172.4,4.00%,Cash
631,1002,107,402,0,8/21/2024,2,268.08,4.00%,Cash
632,1006,108,406,0,8/25/2024,1,75.36,4.00%,Cash
633,1002,104,402,0,8/25/2024,1,258.6,2.00%,Credit_Card
634,1006,105,406,0,8/28/2024,1,39.56,2.00%,Credit_Card
635,1005,106,405,0,8/28/2024,2,177.96,2.00%,Cash
636,1005,107,405,3,9/5/2024,2,1072.32,2.00%,Cash
637,1007,107,405,3,9/5/2024,2,1072.32,7.00%,Credit_Card
638,1001,101,401,3,9/22/2024,1,6344.96,7.00%,Cash
639,1007,104,405,3,9/22/2024,1,689.6,6.00%,Cash
640,1005,107,405,3,9/30/2024,2,268.08,6.00%,Credit_Card
641,1010,103,402,3,9/30/2024,2,45.52,5.00%,Credit_Card
642,1002,101,402,0,10/10/2024,3,5551.84,5.00%,Cash
643,1010,104,402,0,10/10/2024,4,301.7,4.00%,Credit_Card
